"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"21.000","2 +
                          1","75 m²","2
                        Yaşında","1. Kat","İzmir / Karabağlar / Refet Bele Mah."
"50.000","3 +
                          1","120 m²","Sıfır Bina","5. Kat","İzmir / Bayraklı / Mansuroğlu Mah."
"30.000","1 +
                          1","55 m²","2
                        Yaşında","2. Kat","İzmir / Buca / Adatepe Mah."
"20.000","2 +
                          1","90 m²","31
                        Yaşında","2. Kat","İzmir / Konak / Altıntaş Mah."
"35.000","2 +
                          1","110 m²","6
                        Yaşında","7. Kat","İzmir / Menemen / 9 Eylül Mah."
"16.500","2 +
                          1","95 m²","25
                        Yaşında","8. Kat","İzmir / Torbalı / Cumhuriyet Mah."
"22.000","1 +
                          1","55 m²","6
                        Yaşında","Bahçe Katı","İzmir / Buca / Adatepe Mah."
"18.000","1 +
                          1","60 m²","6
                        Yaşında","Yüksek Giriş","İzmir / Torbalı / Fevzi Çakmak Mah."
"33.000","2 +
                          1","95 m²","31
                        Yaşında","Yüksek Giriş","İzmir / Balçova / Onur Mah."
"20.000","1 +
                          1","55 m²","6
                        Yaşında","2. Kat","İzmir / Bornova / İnönü Mah."
"24.000","2 +
                          1","97 m²","21
                        Yaşında","2. Kat","İzmir / Buca / Laleli Mah."
"21.500","1 +
                          1","65 m²","6
                        Yaşında","2. Kat","İzmir / Bayraklı / Çay Mah."
"25.000","3 +
                          1","115 m²","30
                        Yaşında","2. Kat","İzmir / Bornova / Erzene Mah."
"20.000","2 +
                          1","98 m²","26
                        Yaşında","4. Kat","İzmir / Buca / Yiğitler Mah."
"12.500","1 +
                          1","60 m²","21
                        Yaşında","Yüksek Giriş","İzmir / Menemen / Zafer Mah."
"25.000","1 +
                          1","70 m²","Sıfır Bina","Yüksek Giriş","İzmir / Seferihisar / Hıdırlık Mah."
"17.000","1 +
                          1","52 m²","3
                        Yaşında","3. Kat","İzmir / Menemen / 85. Yıl Cumhuriyet Mah."
"14.000","1 +
                          1","50 m²","21
                        Yaşında","Zemin","İzmir / Karşıyaka / Cumhuriyet Mah."
"24.000","2 +
                          1","80 m²","6
                        Yaşında","2. Kat","İzmir / Menemen / İnönü Mah."
"30.000","3 +
                          1","105 m²","26
                        Yaşında","Giriş Katı","İzmir / Karşıyaka / Yalı Mah."
"40.000","2 +
                          1","80 m²","3
                        Yaşında","Zemin","İzmir / Bayraklı / Adalet Mah."
"28.000","2 +
                          1","75 m²","5
                        Yaşında","2. Kat","İzmir / Buca / Yaylacık Mah."
"38.500","3 +
                          1","148 m²","31
                        Yaşında","2. Kat","İzmir / Balçova / Onur Mah."
"16.500","2 +
                          1","120 m²","16
                        Yaşında","2. Kat","İzmir / Ödemiş / Cumhuriyet Mah."
"45.000","3 +
                          1","155 m²","21
                        Yaşında","10. Kat","İzmir / Bayraklı / 75. Yıl Mah."
"73.000","3 +
                          1","190 m²","37
                        Yaşında","3. Kat","İzmir / Karşıyaka / Atakent Mah."
"27.000","2 +
                          1","100 m²","35
                        Yaşında","2. Kat","İzmir / Balçova / Onur Mah."
"700.000","2 +
                          1","70 m²","31
                        Yaşında","Bahçe Katı","İzmir / Çeşme / Boyalık Mah."
"450.000","3 +
                          1","130 m²","6
                        Yaşında","Bahçe Katı","İzmir / Çeşme / Alaçatı Mah."
"61.000","2 +
                          1","128 m²","14
                        Yaşında","14. Kat","İzmir / Karşıyaka / Yalı Mah."
"28.500","1 +
                          1","50 m²","26
                        Yaşında","Bahçe Katı","İzmir / Foça / Fevzipaşa Mah."
"30.000","Stüdyo","45 m²","6
                        Yaşında","3. Kat","İzmir / Bornova / Kazımdirik Mah."
"46.000","3 +
                          1","115 m²","6
                        Yaşında","4. Kat","İzmir / Karşıyaka / Şemikler Mah."
"41.000","3 +
                          1","110 m²","2
                        Yaşında","4. Kat","İzmir / Karşıyaka / Örnekköy Mah."
"22.500","3 +
                          1","135 m²","2
                        Yaşında","Kot 1","İzmir / Kemalpaşa / Çambel Mah."
"75.000","3 +
                          1","175 m²","6
                        Yaşında","Bahçe Katı","İzmir / Urla / Kuşçular Mah."
"26.000","1 +
                          1","55 m²","Sıfır Bina","3. Kat","İzmir / Buca / Yaylacık Mah."
"21.000","1 +
                          1","45 m²","Sıfır Bina","3. Kat","İzmir / Buca / Kuruçeşme Mah."
"235.000","4 +
                          1","300 m²","Sıfır Bina","Bahçe Katı","İzmir / Urla / Yenikent Mah."
"45.000","3 +
                          1","150 m²","4
                        Yaşında","12. Kat","İzmir / Karşıyaka / Zübeyde Hanım Mah."
"35.000","3 +
                          1","130 m²","15
                        Yaşında","5. Kat","İzmir / Karşıyaka / Dedebaşı Mah."
"32.000","3 +
                          1","140 m²","23
                        Yaşında","3. Kat","İzmir / Bayraklı / Soğukkuyu Mah."
"40.000","2 +
                          1","75 m²","Sıfır Bina","3. Kat","İzmir / Çiğli / Ataşehir Mah."
"19.500","2 +
                          1","90 m²","20
                        Yaşında","1. Kat","İzmir / Torbalı / Ayrancılar Mah."
"1.250.000","4 +
                          1","300 m²","6
                        Yaşında","Bahçe Katı","İzmir / Çeşme / Alaçatı Mah."
"80.000","3 +
                          1","210 m²","1
                        Yaşında","17. Kat","İzmir / Bornova / Yeşilova Mah."
"32.500","3 +
                          1","110 m²","6
                        Yaşında","3. Kat","İzmir / Karabağlar / Sevgi Mah."
