"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"32.000","1 +
                          1","45 m²","6
                        Yaşında","2. Kat","İzmir / Bornova / Kazımdirik Mah."
"17.000","1 +
                          1","55 m²","Sıfır Bina","3. Kat","İzmir / Bergama / Fatih Mah."
"19.500","1 +
                          1","60 m²","4
                        Yaşında","1. Kat","İzmir / Bergama / Atatürk Mah."
"23.000","2 +
                          1","95 m²","Sıfır Bina","2. Kat","İzmir / Seferihisar / Çolak İbrahim Bey Mah."
"70.000","4 +
                          1","186 m²","27
                        Yaşında","7. Kat","İzmir / Karabağlar / Muammer Akar Mah."
"23.000","3 +
                          1","130 m²","20
                        Yaşında","2. Kat","İzmir / Bergama / Maltepe Mah."
"27.000","2 +
                          1","85 m²","31
                        Yaşında","2. Kat","İzmir / Bayraklı / Fuat Edip Baksı Mah."
"30.000","3 +
                          1","115 m²","7
                        Yaşında","2. Kat","İzmir / Aliağa / Yeni Mah."
"17.000","1 +
                          1","65 m²","Sıfır Bina","Ara Kat","İzmir / Menemen / İnönü Mah."
"42.000","2 +
                          1","87 m²","1
                        Yaşında","6. Kat","İzmir / Çiğli / Ataşehir Mah."
"40.000","4 +
                          1","186 m²","1
                        Yaşında","12. Kat","İzmir / Menemen / Uğur Mumcu Mah."
"30.000","3 +
                          0","105 m²","45
                        Yaşında","6. Kat","İzmir / Bayraklı / Mansuroğlu Mah."
"70.000","3 +
                          1","140 m²","35
                        Yaşında","5. Kat","İzmir / Konak / Göztepe Mah."
"27.500","1 +
                          1","65 m²","5
                        Yaşında","6. Kat","İzmir / Tire / Adnan Menderes Mah."
"30.000","3 +
                          1","165 m²","6
                        Yaşında","4. Kat","İzmir / Torbalı / Muratbey Mah."
"25.000","3 +
                          1","130 m²","33
                        Yaşında","2. Kat","İzmir / Balçova / Eğitim Mah."
"26.500","3 +
                          1","135 m²","Sıfır Bina","Yüksek Giriş","İzmir / Kemalpaşa / Ulucak Mustafa Kemal Atatürk Mah."
"25.000","2 +
                          1","90 m²","28
                        Yaşında","1. Kat","İzmir / Karşıyaka / Nergiz Mah."
"38.500","2 +
                          1","100 m²","12
                        Yaşında","2. Kat","İzmir / Çeşme / Alaçatı Mah."
"47.000","3 +
                          1","165 m²","6
                        Yaşında","6. Kat","İzmir / Menemen / 30 Ağustos Mah."
"32.000","1 +
                          1","200 m²","2
                        Yaşında","1. Kat","İzmir / Urla / Kuşçular Mah."
"55.000","3 +
                          1","108 m²","2
                        Yaşında","2. Kat","İzmir / Karşıyaka / Nergiz Mah."
"35.000","2 +
                          1","85 m²","36
                        Yaşında","Ara Kat","İzmir / Karşıyaka / Dedebaşı Mah."
"27.000","3 +
                          1","110 m²","31
                        Yaşında","Giriş Katı","İzmir / Karabağlar / Üçkuyular Mah."
"36.000","3 +
                          1","130 m²","31
                        Yaşında","4. Kat","İzmir / Karabağlar / Muammer Akar Mah."
"22.000","3 +
                          1","120 m²","5
                        Yaşında","5. Kat","İzmir / Tire / Toki Mah."
"30.000","1 +
                          1","50 m²","3
                        Yaşında","1. Kat","İzmir / Bornova / Kazımdirik Mah."
"35.000","4 +
                          1","160 m²","31
                        Yaşında","4. Kat","İzmir / Konak / Güzelyalı Mah."
"82.500","4 +
                          1","200 m²","5
                        Yaşında","8. Kat","İzmir / Karabağlar / Ali Fuat Cebesoy Mah."
"25.000","2 +
                          1","90 m²","12
                        Yaşında","3. Kat","İzmir / Karabağlar / Bahar Mah."
"30.000","3 +
                          1","140 m²","23
                        Yaşında","6. Kat","İzmir / Karabağlar / Bahar Mah."
"65.000","3 +
                          1","168 m²","26
                        Yaşında","3. Kat","İzmir / Karşıyaka / Mavişehir Mah."
"34.000","3 +
                          1","140 m²","8
                        Yaşında","3. Kat","İzmir / Karşıyaka / Şemikler Mah."
"34.000","3 +
                          1","172 m²","15
                        Yaşında","Ara Kat","İzmir / Buca / Yaylacık Mah."
"18.000","2 +
                          1","75 m²","6
                        Yaşında","3. Kat","İzmir / Karabağlar / Refet Bele Mah."
"125.000","5 +
                          2","450 m²","15
                        Yaşında","9. Kat","İzmir / Balçova / Korutürk Mah."
"23.500","1 +
                          1","70 m²","5
                        Yaşında","Yüksek Giriş","İzmir / Konak / Kahramanlar Mah."
"50.000","3 +
                          1","140 m²","22
                        Yaşında","2. Kat","İzmir / Bornova / Evka 3 Mah."
"78.000","4 +
                          1","190 m²","15
                        Yaşında","2. Kat","İzmir / Çiğli / Ataşehir Mah."
"128.000","4 +
                          1","300 m²","25
                        Yaşında","","İzmir / Urla / Kalabak Mah."
"25.000","3 +
                          1","120 m²","27
                        Yaşında","2. Kat","İzmir / Menemen / 30 Ağustos Mah."
"75.000","2 +
                          1","135 m²","Sıfır Bina","","İzmir / Urla / Kuşçular Mah."
"28.000","3 +
                          1","115 m²","10
                        Yaşında","2. Kat","İzmir / Karabağlar / Basın Sitesi Mah."
"37.000","2 +
                          1","100 m²","10
                        Yaşında","1. Kat","İzmir / Bornova / Erzene Mah."
"21.000","1 +
                          1","45 m²","2
                        Yaşında","Ara Kat","İzmir / Buca / Hürriyet Mah."
"33.000","3 +
                          1","120 m²","30
                        Yaşında","4. Kat","İzmir / Balçova / Onur Mah."
"28.000","3 +
                          1","110 m²","35
                        Yaşında","6. Kat","İzmir / Bayraklı / Manavkuyu Mah."
"25.000","2 +
                          1","89 m²","30
                        Yaşında","4. Kat","İzmir / Karabağlar / Bahar Mah."
"44.500","3 +
                          1","156 m²","21
                        Yaşında","8. Kat","İzmir / Buca / Fırat Mah."
"25.500","2 +
                          1","85 m²","8
                        Yaşında","4. Kat","İzmir / Buca / Laleli Mah."
"85.000","3 +
                          1","168 m²","4
                        Yaşında","Bahçe Katı","İzmir / Gaziemir / Dokuz Eylül Mah."
"62.500","3 +
                          1","136 m²","4
                        Yaşında","1. Kat","İzmir / Gaziemir / Dokuz Eylül Mah."
"79.500","3 +
                          1","128 m²","4
                        Yaşında","2. Kat","İzmir / Gaziemir / Dokuz Eylül Mah."
"27.000","1 +
                          1","45 m²","Sıfır Bina","2. Kat","İzmir / Buca / Atatürk Mah."
"100.000","5 +
                          1","300 m²","6
                        Yaşında","Bahçe Katı","İzmir / Güzelbahçe / Küçükkaya Mah."
"25.000","3 +
                          1","130 m²","31
                        Yaşında","3. Kat","İzmir / Çiğli / Egekent Mah."
