"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"19.000","3 +
                          1","105 m²","20
                        at Age","2. Floor","Manisa / Akhisar / Hürriyet Mah."
"25.000","3 +
                          1","165 m²","6
                        at Age","5. Floor","Manisa / Turgutlu / Ergenekon Mah."
"21.000","1 +
                          1","45 m²","5
                        at Age","Middle Floor","Manisa / Turgutlu / Yeni Mah."
"23.000","1 +
                          1","60 m²","New Property","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"26.000","1 +
                          1","45 m²","3
                        at Age","14. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"21.000","2 +
                          1","110 m²","30
                        at Age","2. Floor","Manisa / Yunusemre / Kuyualan Mah."
"26.500","3 +
                          1","160 m²","30
                        at Age","3. Floor","Manisa / Şehzadeler / Kuşlubahçe Mah."
"24.000","2 +
                          1","65 m²","New Property","Top Floor","Manisa / Şehzadeler / Yarhasanlar Mah."
"18.000","3 +
                          1","120 m²","30
                        at Age","5. Floor","Manisa / Yunusemre / Yeni Mahalle Mah."
"25.000","2 +
                          1","90 m²","New Property","2. Floor","Manisa / Salihli / Namık Kemal Mah."
"18.000","2 +
                          1","110 m²","New Property","2. Floor","Manisa / Akhisar / Cumhuriyet Mah."
"12.500","2 +
                          1","100 m²","30
                        at Age","2. Floor","Manisa / Akhisar / Atatürk Mah."
"26.500","3 +
                          1","160 m²","6
                        at Age","1. Floor","Manisa / Turgutlu / Yılmazlar Mah."
"17.500","2 +
                          1","90 m²","6
                        at Age","3. Floor","Manisa / Yunusemre / Yeni Mahalle Mah."
"62.500","3 +
                          1","134 m²","3
                        at Age","11. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"22.000","2 +
                          1","110 m²","20
                        at Age","3. Floor","Manisa / Şehzadeler / Dere Mah."
"24.000","3 +
                          0","160 m²","15
                        at Age","Middle Floor","Manisa / Akhisar / Hürriyet Mah."
"27.000","3 +
                          1","120 m²","23
                        at Age","4. Floor","Manisa / Şehzadeler / Peker Mah."
"16.000","2 +
                          2","96 m²","10
                        at Age","2. Floor","Manisa / Saruhanlı / Cumhuriyet Mah."
"17.000","1 +
                          1","65 m²","5
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"17.500","1 +
                          1","75 m²","5
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"55.000","4 +
                          1","228 m²","11
                        at Age","7. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"18.000","1 +
                          1","68 m²","1
                        at Age","2. Floor","Manisa / Saruhanlı / Cengiz Topel Mah."
"36.000","1 +
                          1","44 m²","4
                        at Age","2. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"17.000","1 +
                          1","55 m²","New Property","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"14.000","1 +
                          1","70 m²","26
                        at Age","3. Floor","Manisa / Şehzadeler / Akıncılar Mah."
"25.000","1 +
                          1","80 m²","New Property","2. Floor","Manisa / Turgutlu / Acarlar Mah."
"23.000","2 +
                          1","95 m²","5
                        at Age","2. Floor","Manisa / Şehzadeler / Sakarya Mah."
"15.000","2 +
                          1","95 m²","25
                        at Age","2. Floor","Manisa / Turgutlu / Turgutlar Mah."
"35.000","3 +
                          1","145 m²","11
                        at Age","1. Floor","Manisa / Şehzadeler / Çarşı Mah."
"18.000","2 +
                          1","97 m²","New Property","3. Floor","Manisa / Yunusemre / Akgedik Mah."
"27.000","3 +
                          1","120 m²","21
                        at Age","3. Floor","Manisa / Yunusemre / 75. Yıl Mah."
"18.500","1 +
                          1","65 m²","1
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"26.000","3 +
                          1","170 m²","15
                        at Age","3. Floor","Manisa / Akhisar / Hürriyet Mah."
"23.000","3 +
                          1","125 m²","21
                        at Age","6. Floor","Manisa / Şehzadeler / Nişancıpaşa Mah."
"35.000","3 +
                          1","125 m²","6
                        at Age","7. Floor","Manisa / Şehzadeler / 2. Anafartalar Mah."
"18.000","1 +
                          1","60 m²","21
                        at Age","1. Floor","Manisa / Şehzadeler / Yarhasanlar Mah."
"15.000","3 +
                          1","120 m²","15
                        at Age","3. Floor","Manisa / Salihli / Keli Mah."
